,Time (µs),Radius (nm)
277,2.77,7.6761856
278,2.78,7.5803022
279,2.79,7.5425425
280,2.8,7.4216943
281,2.81,7.7509623
282,2.82,8.0046215
283,2.83,7.837405
284,2.84,7.987348
285,2.85,7.756681
286,2.86,7.9516144
287,2.87,7.8926077
288,2.88,7.6870446
289,2.89,7.79767
290,2.9,7.7063684
291,2.91,7.7600875
292,2.92,7.725145
293,2.93,7.502703
294,2.94,7.822464
295,2.95,7.9463754
296,2.96,7.742003
297,2.97,7.5871973
298,2.98,7.855738
299,2.99,7.7035117
300,3.0,7.77398
301,3.01,7.5745115
302,3.02,7.6925774
303,3.03,7.7556357
304,3.04,7.9049273
305,3.05,7.8501596
306,3.06,7.6965017
307,3.07,8.025554
308,3.08,7.827058
309,3.09,7.6640677
310,3.1,7.6045775
311,3.11,7.7582483
312,3.12,7.783557
313,3.13,7.7265854
314,3.14,7.6324553
315,3.15,7.672532
316,3.16,7.7311277
317,3.17,7.684278
318,3.18,7.6129966
319,3.19,7.5769944
320,3.2,7.6216154
321,3.21,7.688821
322,3.22,7.7767487
323,3.23,7.7980156
324,3.24,7.738112
325,3.25,7.64032
326,3.26,7.63368
327,3.27,7.536277
328,3.28,7.5350456
329,3.29,7.473832
330,3.3,7.5766273
331,3.31,7.610256
332,3.32,7.7423925
333,3.33,7.9292665
334,3.34,7.913231
335,3.35,7.76416
336,3.36,7.781264
337,3.37,7.7974043
338,3.38,7.669945
339,3.39,7.6957407
340,3.4,7.696683
341,3.41,7.684078
342,3.42,7.828864
343,3.43,7.5241003
344,3.44,7.9052305
345,3.45,7.932193
346,3.46,7.9256334
347,3.47,7.9686155
348,3.48,7.8324633
349,3.49,7.683749
350,3.5,7.5383043
351,3.51,7.6499352
352,3.52,7.6893706
353,3.53,7.792325
354,3.54,7.641768
355,3.55,7.6434593
356,3.56,7.567237
357,3.57,7.711068
358,3.58,7.576127
359,3.59,7.524976
360,3.6,7.5652924
361,3.61,7.787448
362,3.62,7.510997
363,3.63,7.465215
364,3.64,7.5871305
365,3.65,7.6591425
366,3.66,7.9120736
367,3.67,7.876479
368,3.68,7.7784424
369,3.69,7.8431144
370,3.7,7.82001
371,3.71,7.745027
372,3.72,7.747339
373,3.73,7.719041
374,3.74,7.800518
375,3.75,7.844457
376,3.76,7.677386
377,3.77,7.929563
378,3.78,7.63434
379,3.79,7.7382193
380,3.8,7.800737
381,3.81,7.7706375
382,3.82,7.7309494
383,3.83,7.8044596
384,3.84,7.740523
385,3.85,7.681679
386,3.86,7.820323
387,3.87,7.5438423
388,3.88,7.6975746
389,3.89,7.6350355
390,3.9,7.6376967
391,3.91,7.8018126
392,3.92,7.612652
393,3.93,7.7119
394,3.94,7.821575
395,3.95,7.543765
396,3.96,7.7872725
397,3.97,7.7059946
398,3.98,7.543032
399,3.99,7.8047056
400,4.0,7.803894
401,4.01,7.7723756
402,4.02,7.559922
403,4.03,7.67307
404,4.04,7.7789164
405,4.05,7.9343133
406,4.06,7.780603
407,4.07,7.695652
408,4.08,7.7120996
409,4.09,7.495669
410,4.1,7.7013
411,4.11,7.791037
412,4.12,7.6316757
413,4.13,7.817683
414,4.14,7.8718824
415,4.15,7.706445
416,4.16,7.723475
417,4.17,7.8421006
418,4.18,7.7376947
419,4.19,7.9349
420,4.2,7.799038
421,4.21,7.7965517
422,4.22,7.7316704
423,4.23,7.727912
424,4.24,7.5976257
425,4.25,7.5510483
426,4.26,7.676259
427,4.27,7.5730424
428,4.28,7.726058
429,4.29,7.7870293
430,4.3,7.880272
431,4.31,8.012924
432,4.32,7.8519983
433,4.33,7.758082
434,4.34,7.5834894
435,4.35,7.5937147
436,4.36,7.6942434
437,4.37,7.702403
438,4.38,7.668494
439,4.39,7.6774406
440,4.4,7.640596
441,4.41,7.6663675
442,4.42,7.442721
443,4.43,7.5636306
444,4.44,7.7033906
445,4.45,7.723494
446,4.46,7.7825317
447,4.47,7.913676
448,4.48,7.7205057
449,4.49,7.685922
450,4.5,7.7363343
451,4.51,7.7874503
452,4.52,7.7643766
453,4.53,7.8959856
454,4.54,7.842543
455,4.55,7.794767
456,4.56,7.685725
457,4.57,7.7648096
458,4.58,7.752347
459,4.59,7.699497
460,4.6,7.6601458
461,4.61,7.7111816
462,4.62,7.605133
463,4.63,7.846627
464,4.64,7.889525
465,4.65,7.7323775
466,4.66,7.6309557
467,4.67,7.493215
468,4.68,7.5328217
469,4.69,7.7313714
470,4.7,7.7861733
471,4.71,7.706862
472,4.72,7.6743097
473,4.73,7.697989
474,4.74,7.839573
475,4.75,7.9349413
476,4.76,7.9002495
477,4.77,7.9669104
478,4.78,7.7990007
479,4.79,7.7619324
480,4.8,7.7323594
481,4.81,7.7316117
482,4.82,7.869048
483,4.83,7.696574
484,4.84,7.8468194
485,4.85,7.671853
486,4.86,7.7525496
487,4.87,7.8260245
488,4.88,7.865145
489,4.89,7.74809
490,4.9,8.046803
491,4.91,7.961358
492,4.92,8.0487995
493,4.93,8.0132675
494,4.94,8.108248
495,4.95,8.091569
496,4.96,7.951503
497,4.97,7.8800445
498,4.98,7.9299407
499,4.99,7.894918
500,5.0,7.927678
501,5.01,7.817098
502,5.02,7.9113455
503,5.03,7.97621
504,5.04,7.821242
505,5.05,7.7015023
506,5.06,7.8412294
507,5.07,7.86674
