,POPC Outer,POPC Inner,POPE Outer,POPE Inner
1,2789,2527,2743,2587
2,2820,2496,2786,2544
3,2784,2532,2757,2573
4,2794,2522,2754,2576
5,2779,2537,2761,2569
6,2788,2528,2791,2539
7,2806,2510,2745,2585
8,2747,2569,2729,2601
9,2808,2508,2782,2548
10,2785,2531,2803,2527
11,2784,2532,2777,2553
12,2805,2511,2757,2573
13,2784,2532,2763,2567
14,2797,2519,2781,2549
15,2744,2572,2755,2575
16,2802,2514,2802,2528
17,2810,2506,2793,2537
18,2794,2522,2768,2562
19,2800,2516,2756,2574
20,2790,2526,2794,2536
21,2825,2491,2775,2555
22,2777,2539,2783,2547
23,2816,2500,2794,2536
24,2811,2505,2747,2583
25,2822,2494,2761,2569
26,2834,2482,2748,2582
27,2753,2563,2737,2593
28,2794,2522,2748,2582
29,2767,2549,2789,2541
30,2793,2523,2782,2548
31,2748,2568,2757,2573
32,2790,2526,2770,2560
33,2776,2540,2799,2531
34,2808,2508,2799,2531
35,2769,2547,2741,2589
36,2798,2518,2771,2559
37,2806,2510,2737,2593
38,2818,2498,2789,2541
39,2826,2490,2770,2560
40,2824,2492,2787,2543
41,2786,2530,2778,2552
42,2796,2520,2728,2602
43,2810,2506,2742,2588
44,2813,2503,2775,2555
45,2835,2481,2762,2568
46,2826,2490,2783,2547
47,2776,2540,2732,2598
48,2807,2509,2794,2536
49,2793,2523,2750,2580
50,2796,2520,2737,2593
51,2800,2516,2778,2552
52,2787,2529,2775,2555
53,2820,2496,2770,2560
54,2795,2521,2770,2560
55,2815,2501,2815,2515
56,2814,2502,2749,2581
57,2781,2535,2753,2577
58,2793,2523,2746,2584
59,2792,2524,2767,2563
60,2807,2509,2733,2597
61,2815,2501,2785,2545
62,2799,2517,2765,2565
63,2822,2494,2739,2591
64,2815,2501,2759,2571
65,2794,2522,2758,2572
66,2789,2527,2756,2574
67,2784,2532,2770,2560
68,2813,2503,2739,2591
69,2787,2529,2757,2573
70,2777,2539,2736,2594
71,2772,2544,2769,2561
72,2824,2492,2744,2586
73,2841,2475,2746,2584
74,2831,2485,2757,2573
75,2807,2509,2770,2560
76,2799,2517,2739,2591
77,2785,2531,2771,2559
78,2821,2495,2776,2554
79,2816,2500,2766,2564
80,2849,2467,2772,2558
81,2817,2499,2754,2576
82,2803,2513,2782,2548
83,2777,2539,2766,2564
84,2807,2509,2751,2579
85,2777,2539,2697,2633
86,2822,2494,2799,2531
87,2767,2549,2747,2583
88,2776,2540,2766,2564
89,2800,2516,2761,2569
90,2794,2522,2767,2563
91,2770,2546,2757,2573
92,2828,2488,2799,2531
93,2815,2501,2812,2518
94,2793,2523,2784,2546
95,2792,2524,2748,2582
96,2792,2524,2736,2594
97,2809,2507,2774,2556
98,2807,2509,2794,2536
99,2796,2520,2768,2562
100,2802,2514,2734,2596
101,2813,2503,2794,2536
102,2823,2493,2761,2569
103,2817,2499,2733,2597
104,2829,2487,2793,2537
105,2816,2500,2764,2566
106,2787,2529,2746,2584
107,2826,2490,2770,2560
108,2808,2508,2736,2594
109,2813,2503,2770,2560
110,2822,2494,2740,2590
111,2807,2509,2715,2615
112,2803,2513,2771,2559
113,2816,2500,2759,2571
114,2824,2492,2749,2581
115,2816,2500,2767,2563
116,2816,2500,2770,2560
117,2785,2531,2763,2567
118,2809,2507,2752,2578
119,2810,2506,2718,2612
120,2791,2525,2764,2566
121,2807,2509,2774,2556
122,2819,2497,2736,2594
123,2803,2513,2730,2600
124,2790,2526,2757,2573
125,2820,2496,2774,2556
126,2788,2528,2764,2566
127,2808,2508,2763,2567
128,2788,2528,2752,2578
129,2810,2506,2743,2587
130,2779,2537,2724,2606
131,2759,2557,2718,2612
132,2820,2496,2736,2594
133,2801,2515,2749,2581
134,2784,2532,2731,2599
135,2814,2502,2753,2577
136,2816,2500,2727,2603
137,2825,2491,2752,2578
138,2765,2551,2725,2605
139,2815,2501,2739,2591
140,2774,2542,2747,2583
141,2825,2491,2744,2586
142,2827,2489,2742,2588
143,2819,2497,2753,2577
144,2797,2519,2751,2579
145,2823,2493,2753,2577
146,2808,2508,2751,2579
147,2810,2506,2735,2595
148,2777,2539,2753,2577
149,2831,2485,2734,2596
150,2845,2471,2750,2580
151,2786,2530,2750,2580
152,2831,2485,2761,2569
153,2844,2472,2758,2572
154,2826,2490,2758,2572
155,2827,2489,2785,2545
156,2880,2436,2753,2577
157,2823,2493,2755,2575
158,2824,2492,2753,2577
159,2871,2445,2740,2590
160,2846,2470,2723,2607
161,2854,2462,2714,2616
162,2831,2485,2761,2569
163,2845,2471,2739,2591
164,2803,2513,2738,2592
165,2798,2518,2738,2592
166,2810,2506,2744,2586
167,2826,2490,2736,2594
168,2777,2539,2725,2605
169,2814,2502,2769,2561
170,2825,2491,2729,2601
171,2782,2534,2747,2583
172,2812,2504,2755,2575
173,2772,2544,2748,2582
174,2829,2487,2739,2591
175,2789,2527,2702,2628
176,2805,2511,2758,2572
177,2843,2473,2754,2576
178,2819,2497,2741,2589
179,2797,2519,2735,2595
180,2824,2492,2745,2585
181,2782,2534,2763,2567
182,2845,2471,2746,2584
183,2791,2525,2775,2555
184,2799,2517,2709,2621
185,2818,2498,2786,2544
186,2781,2535,2738,2592
187,2815,2501,2779,2551
188,2790,2526,2751,2579
189,2828,2488,2757,2573
190,2801,2515,2736,2594
191,2762,2554,2709,2621
192,2794,2522,2736,2594
193,2873,2443,2786,2544
194,2823,2493,2721,2609
195,2832,2484,2709,2621
196,2829,2487,2749,2581
197,2822,2494,2746,2584
