,POPC Outer,POPC Inner,POPE Outer,POPE Inner
227,2804,2512,2752,2578
228,2786,2530,2729,2601
229,2852,2464,2715,2615
230,2783,2533,2727,2603
231,2772,2544,2706,2624
232,2787,2529,2756,2574
233,2834,2482,2695,2635
234,2822,2494,2719,2611
235,2850,2466,2791,2539
236,2809,2507,2727,2603
237,2834,2482,2765,2565
238,2813,2503,2763,2567
239,2840,2476,2740,2590
240,2773,2543,2724,2606
241,2804,2512,2747,2583
242,2797,2519,2751,2579
243,2793,2523,2702,2628
244,2797,2519,2753,2577
245,2778,2538,2715,2615
246,2799,2517,2761,2569
247,2776,2540,2779,2551
248,2781,2535,2779,2551
249,2806,2510,2740,2590
250,2813,2503,2714,2616
251,2817,2499,2743,2587
252,2770,2546,2738,2592
253,2802,2514,2705,2625
254,2803,2513,2732,2598
255,2826,2490,2729,2601
256,2790,2526,2705,2625
257,2804,2512,2735,2595
258,2771,2545,2734,2596
259,2791,2525,2740,2590
260,2800,2516,2724,2606
261,2784,2532,2690,2640
262,2800,2516,2738,2592
263,2798,2518,2727,2603
264,2774,2542,2730,2600
265,2798,2518,2779,2551
266,2767,2549,2710,2620
267,2752,2564,2714,2616
268,2805,2511,2725,2605
269,2808,2508,2710,2620
270,2773,2543,2726,2604
271,2802,2514,2756,2574
272,2780,2536,2746,2584
273,2775,2541,2727,2603
274,2784,2532,2737,2593
275,2791,2525,2736,2594
276,2808,2508,2724,2606
277,2778,2538,2734,2596
278,2774,2542,2712,2618
279,2739,2577,2751,2579
280,2799,2517,2719,2611
281,2796,2520,2746,2584
282,2777,2539,2720,2610
283,2802,2514,2749,2581
284,2790,2526,2721,2609
285,2800,2516,2712,2618
286,2755,2561,2746,2584
287,2798,2518,2750,2580
288,2796,2520,2728,2602
289,2825,2491,2785,2545
290,2814,2502,2722,2608
291,2781,2535,2722,2608
292,2808,2508,2757,2573
293,2760,2556,2731,2599
294,2795,2521,2745,2585
295,2793,2523,2749,2581
296,2842,2474,2755,2575
297,2801,2515,2759,2571
298,2771,2545,2731,2599
299,2787,2529,2772,2558
300,2787,2529,2776,2554
301,2786,2530,2751,2579
302,2789,2527,2698,2632
303,2829,2487,2729,2601
304,2778,2538,2715,2615
305,2805,2511,2730,2600
306,2811,2505,2773,2557
307,2799,2517,2762,2568
308,2807,2509,2783,2547
309,2802,2514,2742,2588
310,2821,2495,2754,2576
311,2796,2520,2730,2600
312,2823,2493,2746,2584
313,2821,2495,2730,2600
314,2839,2477,2761,2569
315,2825,2491,2766,2564
316,2815,2501,2743,2587
317,2829,2487,2724,2606
318,2803,2513,2745,2585
319,2771,2545,2750,2580
320,2787,2529,2736,2594
321,2781,2535,2753,2577
322,2784,2532,2736,2594
323,2822,2494,2719,2611
324,2781,2535,2737,2593
325,2809,2507,2770,2560
326,2771,2545,2750,2580
327,2793,2523,2703,2627
328,2755,2561,2744,2586
329,2778,2538,2739,2591
330,2796,2520,2726,2604
331,2798,2518,2772,2558
332,2791,2525,2757,2573
333,2829,2487,2737,2593
334,2757,2559,2719,2611
335,2767,2549,2761,2569
336,2811,2505,2777,2553
337,2793,2523,2754,2576
338,2796,2520,2780,2550
339,2787,2529,2699,2631
340,2775,2541,2732,2598
341,2807,2509,2748,2582
342,2758,2558,2732,2598
343,2809,2507,2733,2597
344,2801,2515,2748,2582
345,2785,2531,2757,2573
346,2761,2555,2755,2575
347,2809,2507,2747,2583
348,2803,2513,2748,2582
349,2819,2497,2714,2616
350,2790,2526,2773,2557
351,2796,2520,2752,2578
352,2811,2505,2742,2588
353,2804,2512,2757,2573
354,2769,2547,2719,2611
355,2787,2529,2726,2604
356,2814,2502,2736,2594
357,2784,2532,2757,2573
358,2783,2533,2696,2634
359,2805,2511,2760,2570
360,2771,2545,2695,2635
361,2808,2508,2746,2584
362,2784,2532,2719,2611
363,2799,2517,2727,2603
364,2808,2508,2730,2600
365,2801,2515,2735,2595
366,2790,2526,2718,2612
367,2802,2514,2752,2578
368,2801,2515,2735,2595
369,2835,2481,2714,2616
370,2809,2507,2719,2611
371,2807,2509,2734,2596
372,2776,2540,2727,2603
373,2796,2520,2749,2581
374,2812,2504,2735,2595
375,2825,2491,2753,2577
376,2817,2499,2740,2590
377,2814,2502,2689,2641
378,2809,2507,2733,2597
379,2829,2487,2738,2592
380,2793,2523,2728,2602
381,2797,2519,2732,2598
382,2819,2497,2747,2583
383,2833,2483,2749,2581
384,2797,2519,2696,2634
385,2799,2517,2749,2581
386,2826,2490,2726,2604
387,2781,2535,2772,2558
388,2823,2493,2753,2577
389,2841,2475,2734,2596
390,2819,2497,2720,2610
391,2837,2479,2759,2571
392,2830,2486,2709,2621
393,2810,2506,2776,2554
394,2838,2478,2726,2604
395,2804,2512,2740,2590
396,2818,2498,2708,2622
397,2817,2499,2769,2561
398,2836,2480,2736,2594
399,2799,2517,2739,2591
400,2806,2510,2755,2575
401,2801,2515,2742,2588
402,2786,2530,2736,2594
403,2801,2515,2745,2585
404,2805,2511,2728,2602
405,2763,2553,2728,2602
406,2796,2520,2729,2601
407,2807,2509,2722,2608
408,2811,2505,2732,2598
409,2819,2497,2740,2590
410,2774,2542,2737,2593
411,2779,2537,2740,2590
412,2776,2540,2742,2588
413,2797,2519,2749,2581
414,2770,2546,2702,2628
415,2813,2503,2763,2567
416,2786,2530,2743,2587
417,2759,2557,2769,2561
418,2818,2498,2728,2602
419,2819,2497,2707,2623
420,2790,2526,2748,2582
421,2776,2540,2750,2580
422,2782,2534,2746,2584
423,2782,2534,2775,2555
424,2800,2516,2757,2573
425,2837,2479,2739,2591
426,2800,2516,2757,2573
427,2786,2530,2794,2536
428,2801,2515,2745,2585
429,2779,2537,2795,2535
430,2833,2483,2753,2577
431,2825,2491,2777,2553
432,2826,2490,2761,2569
433,2806,2510,2757,2573
434,2773,2543,2754,2576
435,2776,2540,2739,2591
436,2787,2529,2735,2595
437,2788,2528,2755,2575
438,2790,2526,2758,2572
439,2793,2523,2758,2572
440,2777,2539,2728,2602
441,2800,2516,2773,2557
442,2777,2539,2732,2598
443,2767,2549,2785,2545
444,2765,2551,2730,2600
445,2763,2553,2729,2601
446,2786,2530,2736,2594
447,2789,2527,2765,2565
448,2802,2514,2754,2576
449,2786,2530,2763,2567
450,2781,2535,2772,2558
451,2769,2547,2762,2568
452,2810,2506,2772,2558
453,2792,2524,2745,2585
454,2809,2507,2707,2623
455,2817,2499,2762,2568
456,2754,2562,2784,2546
457,2805,2511,2717,2613
458,2798,2518,2772,2558
459,2797,2519,2743,2587
460,2779,2537,2723,2607
461,2812,2504,2738,2592
462,2792,2524,2766,2564
463,2806,2510,2796,2534
464,2788,2528,2749,2581
465,2777,2539,2746,2584
466,2814,2502,2747,2583
467,2841,2475,2787,2543
468,2801,2515,2807,2523
469,2826,2490,2733,2597
470,2809,2507,2789,2541
471,2853,2463,2807,2523
472,2811,2505,2749,2581
473,2769,2547,2758,2572
474,2815,2501,2743,2587
475,2788,2528,2750,2580
476,2758,2558,2709,2621
477,2782,2534,2721,2609
478,2811,2505,2723,2607
479,2812,2504,2762,2568
480,2792,2524,2748,2582
481,2797,2519,2753,2577
482,2746,2570,2707,2623
483,2790,2526,2733,2597
484,2808,2508,2740,2590
485,2800,2516,2718,2612
486,2782,2534,2723,2607
487,2820,2496,2724,2606
488,2791,2525,2724,2606
489,2820,2496,2724,2606
490,2777,2539,2723,2607
491,2797,2519,2733,2597
492,2795,2521,2742,2588
493,2886,2430,2686,2644
494,2831,2485,2698,2632
495,2845,2471,2721,2609
496,2803,2513,2707,2623
497,2807,2509,2719,2611
498,2799,2517,2719,2611
499,2829,2487,2701,2629
500,2819,2497,2757,2573
501,2864,2452,2737,2593
502,2787,2529,2747,2583
503,2810,2506,2719,2611
504,2785,2531,2711,2619
505,2816,2500,2700,2630
506,2793,2523,2744,2586
507,2844,2472,2702,2628
508,2812,2504,2708,2622
509,2825,2491,2715,2615
510,2811,2505,2730,2600
511,2808,2508,2725,2605
512,2788,2528,2696,2634
513,2835,2481,2720,2610
514,2781,2535,2739,2591
